[AXUM] 2023-04-25 18:44:28 |200|    0ms |       127.0.0.1 | GET   /assets/video-d6b99e6c.css
[AXUM] 2023-04-25 18:44:28 |200|    0ms |       127.0.0.1 | GET   /assets/video-a15dbd40.js
[AXUM] 2023-04-25 18:44:28 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:44:28 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 18:44:28 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:44:28 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:44:28 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:47:41 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 18:47:41 |200|    0ms |       127.0.0.1 | GET   /assets/index-245bfb5e.js
[AXUM] 2023-04-25 18:47:41 |200|    0ms |       127.0.0.1 | GET   /assets/index-e0b96a67.css
[AXUM] 2023-04-25 18:47:41 |200|    0ms |       127.0.0.1 | GET   /assets/video-4f1fd7ce.js
[AXUM] 2023-04-25 18:47:41 |200|    0ms |       127.0.0.1 | GET   /assets/video-a15dbd40.js
[AXUM] 2023-04-25 18:47:41 |200|    0ms |       127.0.0.1 | GET   /assets/video-d6b99e6c.css
[AXUM] 2023-04-25 18:47:41 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:47:41 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 18:47:41 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:47:41 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:47:43 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:47:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:47:49 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:47:49 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:47:49 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:47:52 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:47:54 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:47:55 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:47:55 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:47:57 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 20:44:20 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 20:44:20 |200|    0ms |       127.0.0.1 | GET   /assets/index-88b91617.js
[AXUM] 2023-04-25 20:44:20 |200|    0ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-25 20:44:20 |200|    0ms |       127.0.0.1 | GET   /assets/list-b60ba353.js
[AXUM] 2023-04-25 20:44:20 |200|    0ms |       127.0.0.1 | GET   /assets/video-8ae1474e.js
[AXUM] 2023-04-25 20:44:20 |200|    0ms |       127.0.0.1 | GET   /assets/list-fc8a65d0.css
[AXUM] 2023-04-25 20:44:20 |200|    0ms |       127.0.0.1 | GET   /list
[AXUM] 2023-04-25 20:44:20 |200|    0ms |       127.0.0.1 | GET   /icon/icon.png
[AXUM] 2023-04-25 20:44:20 |200|    3ms |       127.0.0.1 | GET   /video/大话HTTP协议/icon.png
[AXUM] 2023-04-25 20:44:20 |200|    7ms |       127.0.0.1 | GET   /video/NestJS入门到实战前端必学服务端新趋势【完结】/icon.png
[AXUM] 2023-04-25 20:44:20 |200|    7ms |       127.0.0.1 | GET   /video/慕课网-算法与数据结构体系课（MP4）【更多it教程联系微信 itwangzi】/icon.png
[AXUM] 2023-04-25 20:44:20 |200|    9ms |       127.0.0.1 | GET   /video/mksz608-Vue3源码解析，打造自己的Vue3框架，领悟尤大思维精髓【17章完结】/icon.png
[AXUM] 2023-04-25 20:44:22 |200|    0ms |       127.0.0.1 | GET   /assets/video-e7e97f5b.js
[AXUM] 2023-04-25 20:44:22 |200|    0ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-25 20:44:22 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 20:44:22 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-4 “你是如何访问慕课的”--DNS域名解析.mp4
[AXUM] 2023-04-25 20:44:22 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-4 “你是如何访问慕课的”--DNS域名解析.mp4
[AXUM] 2023-04-25 20:44:22 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-4 “你是如何访问慕课的”--DNS域名解析.mp4
[AXUM] 2023-04-25 20:44:23 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 20:44:25 |206|    5ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-5 回溯HTTP事务处理过程.mp4
[AXUM] 2023-04-25 20:44:25 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-5 回溯HTTP事务处理过程.mp4
[AXUM] 2023-04-25 20:44:26 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-5 回溯HTTP事务处理过程.mp4
[AXUM] 2023-04-25 20:44:28 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-4 “你是如何访问慕课的”--DNS域名解析.mp4
[AXUM] 2023-04-25 20:44:28 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-4 “你是如何访问慕课的”--DNS域名解析.mp4
[AXUM] 2023-04-25 20:44:29 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-5 回溯HTTP事务处理过程.mp4
[AXUM] 2023-04-25 20:44:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-3 HTTP报文结构分析.mp4
[AXUM] 2023-04-25 20:44:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-3 HTTP报文结构分析.mp4
[AXUM] 2023-04-25 20:44:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-3 HTTP报文结构分析.mp4
[AXUM] 2023-04-25 20:44:49 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 20:44:49 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 20:44:50 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
